accession_version	Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset	full_minor	region	location	host_common_name	host_latin_name	submitters	collection_year
ON986432.1																	North America	USA		Canidae	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986430.1																	North America	USA		Feliformia	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986429.1																	North America	USA		Feliformia	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986428.1																	North America	USA		Cervidae	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2017
ON986427.1																	North America	USA		Bos taurus	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2020
ON986424.1																	North America	USA		Lynx rufus	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON146321.1																	South America			Tadarida brasiliensis	Campos,A.A.S.,Andrade,M.,Godinho,F.,Dornelles,C.,Barcellos,R.,Violet,L.,Franco,A.C.,Campos,F.	2021
ON146313.1																	South America			Tadarida brasiliensis	Campos,A.A.S.,Franco,A.C.,Simas,P.V.	2017
ON146312.1																	South America			Tadarida brasiliensis	Campos,A.A.S.,Franco,A.C.,Simas,P.V.	2017
OM971005.1																	North America	Mexico		Nasua narica	Puebla-Rodriguez,P.,Almazan-Marin,C.,Garces-Ayala,F.,Rendon-Franco,E.,Chavez-Lopez,S.,Gomez-Sierra,M.,Sandoval-Borja,A.,Martinez-Solis,D.,Escamilla-Rios,B.,Sauri-Gonzales,I.,Alonzo-Gongora,A.,Lopez-Martinez,I.,Arechiga-Ceballos,N.,Salvador-Patino,A.,Araiza-Rodriguez,A.	2020
OM971004.1																	North America	Mexico		Nasua narica	Puebla-Rodriguez,P.,Almazan-Marin,C.,Garces-Ayala,F.,Rendon-Franco,E.,Chavez-Lopez,S.,Gomez-Sierra,M.,Sandoval-Borja,A.,Martinez-Solis,D.,Escamilla-Rios,B.,Sauri-Gonzales,I.,Alonzo-Gongora,A.,Lopez-Martinez,I.,Arechiga-Ceballos,N.,Salvador-Patino,A.,Araiza-Rodriguez,A.	2017
OM971003.1																	North America	Mexico		Nasua narica	Puebla-Rodriguez,P.,Almazan-Marin,C.,Garces-Ayala,F.,Rendon-Franco,E.,Chavez-Lopez,S.,Gomez-Sierra,M.,Sandoval-Borja,A.,Martinez-Solis,D.,Escamilla-Rios,B.,Sauri-Gonzales,I.,Alonzo-Gongora,A.,Lopez-Martinez,I.,Arechiga-Ceballos,N.,Salvador-Patino,A.,Araiza-Rodriguez,A.	2015
OM971002.1																	North America	Mexico		Nasua narica	Puebla-Rodriguez,P.,Almazan-Marin,C.,Garces-Ayala,F.,Rendon-Franco,E.,Chavez-Lopez,S.,Gomez-Sierra,M.,Sandoval-Borja,A.,Martinez-Solis,D.,Escamilla-Rios,B.,Sauri-Gonzales,I.,Alonzo-Gongora,A.,Lopez-Martinez,I.,Arechiga-Ceballos,N.,Salvador-Patino,A.,Araiza-Rodriguez,A.	2008
OM971001.1																	North America	Mexico		Nasua narica	Puebla-Rodriguez,P.,Almazan-Marin,C.,Garces-Ayala,F.,Rendon-Franco,E.,Chavez-Lopez,S.,Gomez-Sierra,M.,Sandoval-Borja,A.,Martinez-Solis,D.,Escamilla-Rios,B.,Sauri-Gonzales,I.,Alonzo-Gongora,A.,Lopez-Martinez,I.,Arechiga-Ceballos,N.,Salvador-Patino,A.,Araiza-Rodriguez,A.	2007
OM202983.1																	North America	USA		Urocyon cinereoargenteus	Condori,R.E.,Aragon,A.,Breckenridge,M.,Pesko,K.,Mower,K.,Ettestad,P.,Melman,S.,Velasco-Villa,A.,Orciari,L.A.,Yager,P.,Streicker,D.G.,Gigante,C.M.,Morgan,C.,Wallace,R.,Li,Y.,Condori Condori,R.E.	2015
OM202982.1																	North America	USA		Urocyon cinereoargenteus	Condori,R.E.,Aragon,A.,Breckenridge,M.,Pesko,K.,Mower,K.,Ettestad,P.,Melman,S.,Velasco-Villa,A.,Orciari,L.A.,Yager,P.,Streicker,D.G.,Gigante,C.M.,Morgan,C.,Wallace,R.,Li,Y.,Condori Condori,R.E.	2019
OL314495.1																	Africa			Canis lupus familiaris	Fouad,A.A.,Ahmed,B.M.,Shaheen,M.A.,Hussein,H.A.	2019
OK135148.1																	Africa			Canis lupus familiaris	Mauti,S.,Voupawoe,G.,Bonas,S.,Kamara,V.,Bourhy,H.,Gourlaouen,M.,De Benedictis,P.,Zinsstag,J.,Dacheux,L.	2018
OK135147.1																	Africa	Liberia		Canis lupus familiaris	Mauti,S.,Voupawoe,G.,Bonas,S.,Kamara,V.,Bourhy,H.,Gourlaouen,M.,De Benedictis,P.,Zinsstag,J.,Dacheux,L.	2018
OK135146.1																	Africa	Liberia		Canis lupus familiaris	Mauti,S.,Voupawoe,G.,Bonas,S.,Kamara,V.,Bourhy,H.,Gourlaouen,M.,De Benedictis,P.,Zinsstag,J.,Dacheux,L.	2018
OK135145.1																	Africa	Liberia		Canis lupus familiaris	Mauti,S.,Voupawoe,G.,Bonas,S.,Kamara,V.,Bourhy,H.,Gourlaouen,M.,De Benedictis,P.,Zinsstag,J.,Dacheux,L.	2017
OK135144.1																	Africa	Liberia		Felis catus	Mauti,S.,Voupawoe,G.,Bonas,S.,Kamara,V.,Bourhy,H.,Gourlaouen,M.,De Benedictis,P.,Zinsstag,J.,Dacheux,L.	2017
MZ494188.1																	North America			Chiroptera	Martinez,L.,Loomis,J.,Okogi,K.N.,Vepachedu,V.R.	2020
MW506940.1																	North America			Bos taurus	Castro-Rodriguez,L.,Leon,B.,Ramirez-Carvajal,L.,Castro-Rodriguez,L.E.,Cordero-Solorzano,J.M.	2018
MW506939.1																	North America			Bos taurus	Castro-Rodriguez,L.,Leon,B.,Ramirez-Carvajal,L.,Castro-Rodriguez,L.E.,Cordero-Solorzano,J.M.	2018
MW506938.1																	North America			Bos taurus	Castro-Rodriguez,L.,Leon,B.,Ramirez-Carvajal,L.,Castro-Rodriguez,L.E.,Cordero-Solorzano,J.M.	2018
MW506937.1																	North America			Bos taurus	Castro-Rodriguez,L.,Leon,B.,Ramirez-Carvajal,L.,Castro-Rodriguez,L.E.,Cordero-Solorzano,J.M.	2018
MW057695.1																	Africa			Canis lupus familiaris	Tasiame,W.,El-Duah,P.,Johnson,S.A.M.,Owiredu,E.W.,Bleicker,T.,Veith,T.,Schneider,J.,Emikpe,B.,Folitse,R.D.,Burimuah,V.,Akyereko,E.,Drosten,C.,Corman,V.M.	2019
MW057694.1																	Africa			Canis lupus familiaris	Tasiame,W.,El-Duah,P.,Johnson,S.A.M.,Owiredu,E.W.,Bleicker,T.,Veith,T.,Schneider,J.,Emikpe,B.,Folitse,R.D.,Burimuah,V.,Akyereko,E.,Drosten,C.,Corman,V.M.	2019
MT895968.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895967.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895966.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895965.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895964.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895963.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895962.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895961.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895960.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895959.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895958.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895957.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895956.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895955.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT895954.1																	Asia			Mus musculus	Xu,L.,Zhang,Y.	2019
MT107888.1																	Africa			Homo sapiens	El-Duah,P.,Drosten,C.,Corman,V.M.	2019-09
MN418184.1																	North America	USA		Procyon lotor	Brunt,S.,Davis,A.	2017
MN418183.1																	North America	USA		Urocyon cinereoargenteus	Brunt,S.,Davis,A.	2017
MN418180.1																	North America	USA		Mephitis mephitis	Brunt,S.,Davis,A.	2017
MN418179.1																	North America	USA		Procyon lotor	Brunt,S.,Davis,A.	2017
MN418174.1																	North America	USA		Procyon lotor	Brunt,S.,Davis,A.	2017
MN418173.1																	North America	USA		Procyon lotor	Brunt,S.,Davis,A.	2018
MN418170.1																	North America	USA		Felis catus	Brunt,S.,Davis,A.	2017
MN418164.1																	North America	USA		Procyon lotor	Brunt,S.,Davis,A.	2009
MN418161.1																	North America	USA		Lontra canadensis	Brunt,S.,Davis,A.	2017
MN418157.1																	North America	USA		Procyon lotor	Brunt,S.,Davis,A.	2017
MN418154.1																	North America	USA		Felis catus	Brunt,S.,Davis,A.	2017
MN418153.1																	North America	USA		Procyon lotor	Brunt,S.,Davis,A.	2017
MN418150.1																	North America	USA		Procyon lotor	Brunt,S.,Davis,A.	2016
MN418148.1																	North America	USA		Mephitis mephitis	Brunt,S.,Davis,A.	2017
MN418147.1																	North America	USA		Procyon lotor	Brunt,S.,Davis,A.	2017
MN418144.1																	North America	USA		Procyon lotor	Brunt,S.,Davis,A.	2017
MN418143.1																	North America	USA		Procyon lotor	Brunt,S.,Davis,A.	2008
MK540886.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1989
MK540885.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1989
MK540884.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1989
MK540883.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1989
MK540796.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2015
MK540795.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2015
MK540794.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2015
MK540792.1																	North America	USA		Mephitidae	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540791.1																	North America	USA		Felis catus	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540790.1																	North America	USA		Bos taurus	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540789.1																	North America	USA		Urocyon cinereoargenteus	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540784.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540783.1																	North America	USA		Felis catus	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540781.1																	North America	USA		Marmota monax	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540780.1																	North America	USA		Mephitidae	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540779.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540770.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540763.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540761.1																	North America	USA		Felis catus	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540757.1																	North America	USA		Urocyon cinereoargenteus	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540756.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540755.1																	North America	USA		Mephitidae	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540753.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540749.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540745.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2011
MK540736.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2010
MK540728.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2010
MK540725.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2010
MK540723.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2010
MK540722.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2009
MK540720.1																	North America	USA		Mephitidae	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540717.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540716.1																	North America	USA		Mephitidae	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540715.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540712.1																	North America	USA		Mephitidae	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540710.1																	North America	USA		Mephitidae	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540708.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540705.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540704.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540702.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540701.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540700.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540699.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540697.1																	North America	USA		Mephitidae	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2004
MK540695.1																	North America	USA		Mephitidae	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2003
MK540694.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2003
MK540692.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2003
MK540691.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	2003
MK540690.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1995
MK540689.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1993
MK540688.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1993
MK540687.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1992
MK540686.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1992
MK540685.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1992
MK540684.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1992
MK540683.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1992
MK540682.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1992
MK540681.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1991
MK540680.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1991
MK540679.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1991
MK540678.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1991
MK540677.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540676.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540675.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540674.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540673.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540672.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540671.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540670.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540669.1																	North America	USA		Bos taurus	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540668.1																	North America	USA		Mephitidae	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540667.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540666.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540665.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540664.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540663.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540662.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540661.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540660.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540659.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK540658.1																	North America	USA		Procyon lotor	Nadin-Davis,S.,Buchanan,T.,Nituch,L.,Fehlner-Gardiner,C.,Nadin-Davis,S.A.	1990
MK111080.1																					Forro,B.,Marton,S.,Kecskemeti,S.,Hornyak,A.,Banyai,K.	
MK111079.1																					Forro,B.,Marton,S.,Kecskemeti,S.,Hornyak,A.,Banyai,K.	
MK111078.1																					Forro,B.,Marton,S.,Kecskemeti,S.,Hornyak,A.,Banyai,K.	
MK111077.1																					Forro,B.,Marton,S.,Kecskemeti,S.,Hornyak,A.,Banyai,K.	
MK111076.1																					Forro,B.,Marton,S.,Kecskemeti,S.,Hornyak,A.,Banyai,K.	
MK111075.1																	Europe			Canidae	Forro,B.,Marton,S.,Kecskemeti,S.,Hornyak,A.,Banyai,K.	2015
MK032216.1																					Ahasan,M.M.,Sharmin,R.,Karim,M.,Muktadir,A.	
MH660455.1																	Europe				Haase,S.,Richter,B.,Hundt,B.,Kaiser,C.,Mayer,D.,Neubert,A.,Vos,A.,Tran,H.	2017
MH514985.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2015
MH514984.1																	Africa	Senegal		Homo sapiens	Faye,M.,Sall,A.,Faye,O.	2011
MH514983.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2011
MH514982.1																	Africa	Senegal		Homo sapiens	Faye,M.,Sall,A.,Faye,O.	2007
MH514981.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2013
MH514980.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2014
MH514979.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2014
MH514978.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2014
MH514977.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2013
MH514976.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2010
MH514975.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2013
MH514974.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2011
MH514973.1																	Africa	Senegal		Mellivora capensis	Faye,M.,Sall,A.,Faye,O.	2011
MH514972.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2008
MH514971.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2010
MH514970.1																	Africa	Senegal		Canis lupus familiaris	Faye,M.,Sall,A.,Faye,O.	2011
MH514969.1																	Africa	Senegal		Homo sapiens	Faye,M.,Sall,A.,Faye,O.	2005
MH514968.1																	Africa	Senegal		Homo sapiens	Faye,M.,Sall,A.,Faye,O.	2001
MG562610.1																	North America			Mephitidae	Nadin-Davis,S.A.,Fu,Q.,Trewby,H.,Biek,R.,Johnson,R.H.,Real,L.	2011
MG562609.1																	North America			Urocyon cinereoargenteus	Nadin-Davis,S.A.,Fu,Q.,Trewby,H.,Biek,R.,Johnson,R.H.,Real,L.	2010
MG562608.1																	North America			Mephitidae	Nadin-Davis,S.A.,Fu,Q.,Trewby,H.,Biek,R.,Johnson,R.H.,Real,L.	2010
MG562606.1																	North America			Procyon lotor	Nadin-Davis,S.A.,Fu,Q.,Trewby,H.,Biek,R.,Johnson,R.H.,Real,L.	2009
MG562605.1																	North America			Mephitidae	Nadin-Davis,S.A.,Fu,Q.,Trewby,H.,Biek,R.,Johnson,R.H.,Real,L.	2009
MG562604.1																	North America			Procyon lotor	Nadin-Davis,S.A.,Fu,Q.,Trewby,H.,Biek,R.,Johnson,R.H.,Real,L.	2009
MG562603.1																	North America			Bos taurus	Nadin-Davis,S.A.,Fu,Q.,Trewby,H.,Biek,R.,Johnson,R.H.,Real,L.	2009
MG562602.1																	North America			Procyon lotor	Nadin-Davis,S.A.,Fu,Q.,Trewby,H.,Biek,R.,Johnson,R.H.,Real,L.	2009
MG562601.1																	North America			Procyon lotor	Nadin-Davis,S.A.,Fu,Q.,Trewby,H.,Biek,R.,Johnson,R.H.,Real,L.	2009
